,Region,Number of Native Species
0,AGE,1
1,ANG,2
2,ARU,1
3,BAH,2
4,BAN,1
5,BIS,1
6,BLZ,5
7,BOL,11
8,BOR,1
9,BUR,3
10,BZC,10
11,BZE,9
12,BZL,7
13,BZN,17
14,BZS,4
15,CAF,2
16,CAY,2
17,CBD,1
18,CHA,2
19,CLM,13
20,CMN,1
21,CON,2
22,COS,5
23,CUB,3
24,DOM,2
25,ECU,10
26,ELS,5
27,ERI,1
28,ETH,2
29,FLA,1
30,FRG,10
31,GAB,2
32,GAL,1
33,GAM,1
34,GHA,1
35,GNB,1
36,GUA,5
37,GUI,2
38,GUY,8
39,HAI,2
40,HON,5
41,IVO,1
42,JAM,2
43,JAW,1
44,KEN,3
45,LAO,1
46,LBR,1
47,LEE,2
48,LSI,1
49,MAU,1
50,MDG,2
51,MLI,1
52,MLW,3
53,MOL,1
54,MOZ,3
55,MXC,2
56,MXE,3
57,MXG,5
58,MXN,1
59,MXS,5
60,MXT,5
61,MYA,1
62,NGA,2
63,NIC,5
64,NLA,2
65,NTA,1
66,NWG,1
67,PAN,6
68,PAR,2
69,PER,16
70,PHI,1
71,PUE,2
72,QLD,1
73,REU,1
74,RWA,2
75,SEN,1
76,SIE,1
77,SOL,1
78,SOM,1
79,SRL,1
80,SUD,1
81,SUL,1
82,SUM,1
83,SUR,8
84,SWC,3
85,TAN,4
86,TCI,2
87,THA,1
88,TRT,4
89,UGA,3
90,VEN,10
91,VIE,1
92,VNA,3
93,WIN,3
94,ZAI,4
95,ZAM,2
96,ZIM,2
