,Accepted_Name,Accepted_ID,Family,Genus,Accepted_Rank,Accepted_Species,Accepted_Species_ID,Tested_for_Alkaloids,Alkaloids,Alk_classes_tested_for,Antimalarial_Use,Cardenolides,Steroids,In_Malarial_Region,Common_Name,Medicinal,Wiki_Page,native_tdwg3_codes,bio1,bio4,bio10,bio11,bio12,bio15,bio16,bio17,brkl_elevation,elevation,slope,soil_nitrogen,soil_ph,soil_soc,soil_depth,soil_ocs,soil_water_cap,latitude,longitude,kg_mode,kg_all,alk_diterpenoid,alk_imidazole,alk_indole,alk_indolizidine,alk_indolizine(to_confirm),alk_isoquinoline,alk_mia,alk_misc. one n,alk_misc. two n,alk_monoterpene,alk_naphthyridine,alk_peptide,alk_piperidine,alk_purine,alk_pyrazine,alk_pyridine,alk_pyrrole,alk_pyrrolidine,alk_pyrrolizidine,alk_quinazoline,alk_quinoline,alk_quinolizidine,alk_simple amine,alk_spermidine,alk_steroidal,alk_to_confirm,AntiBac_Metabolites,Poisonous,Spines,Hairs,Richness,Emergence,habit_hb,habit_li,habit_sc,habit_sh,habit_subsh,habit_tr,Activity_Antimalarial
17,Alstonia coriacea,76520-1,Apocynaceae,Alstonia,Species,Alstonia coriacea,76520-1,1.0,1.0,,0.0,,,0.0,0.0,0.0,0.0,['NWC'],21.6459999084473,209.545745849609,24.286750793457,18.9657497406006,2341.7939453125,42.2292518615723,966.551513671875,333.734497070312,222.847640991211,227.919998168945,3.67130208015442,240.972229003906,53.1555557250977,429.088897705078,713.0,68.0714263916016,24.0625,-22.166667,166.73333,1.0,"[1, 14]",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0268784361637141,1.0,0.0,0.0,0.0,0.0,0.0,1.0,
18,Alstonia deplanchei,76527-1,Apocynaceae,Alstonia,Species,Alstonia deplanchei,76527-1,1.0,1.0,,0.0,,,0.0,0.0,0.0,0.0,['NWC'],22.9627494812012,211.768997192383,25.5317497253418,20.1892509460449,1473.56420898438,54.1744995117188,671.356506347656,155.609756469727,128.56787109375,217.047500610352,4.08206653594971,207.0,53.769229888916,393.979156494141,1827.25,59.769229888916,20.75,-20.79917,164.57667,3.0,"[3, 1, 0, 2]",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0268784361637141,1.0,0.0,0.0,0.0,0.0,0.0,1.0,
19,Alstonia lanceolifera,76546-1,Apocynaceae,Alstonia,Species,Alstonia lanceolifera,76546-1,1.0,1.0,,0.0,,,0.0,0.0,0.0,0.0,['NWC'],20.6009998321533,231.884994506836,23.5297498703003,17.6012496948242,1585.91082763672,44.303749084472656,669.3524780273435,211.210624694824,409.826873779297,386.135009765625,7.12402868270874,265.479797363281,53.625541687011705,443.902770996094,798.5,69.6720771789551,24.84375,-21.99389,166.3724985,1.0,"[14, 1]",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0268784361637141,1.0,0.0,0.0,0.0,0.0,0.0,1.0,
20,Alstonia legouixiae,76548-1,Apocynaceae,Alstonia,Species,Alstonia legouixiae,76548-1,1.0,1.0,,0.0,,,0.0,0.0,0.0,0.0,['NWC'],21.4357490539551,231.884994506836,24.2075004577637,18.5254993438721,1799.42419433594,48.304500579834,816.561279296875,216.0,291.642669677734,312.427490234375,6.2599835395813,263.111114501953,52.9333343505859,439.625,961.25,70.5,23.5,-21.69667,166.16,1.0,"[1, 14, 0]",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0268784361637141,1.0,0.0,0.0,0.0,0.0,0.0,1.0,
21,Alstonia lenormandii,76549-1,Apocynaceae,Alstonia,Species,Alstonia lenormandii,76549-1,1.0,1.0,,0.0,,,0.0,0.0,0.0,0.0,['NWC'],21.6747493743896,209.545745849609,24.4072494506836,19.099250793457,2080.30810546875,42.2292518615723,888.690399169922,297.74787902832054,209.98199462890648,202.865005493164,3.77149224281311,238.688888549805,53.1555557250977,428.5829162597655,837.5,68.6333312988281,23.625,-22.173941,166.66541999999998,1.0,"[14, 0, 1]",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0268784361637141,1.0,0.0,0.0,0.0,0.0,0.0,1.0,
26,Alstonia odontophora,76565-1,Apocynaceae,Alstonia,Species,Alstonia odontophora,76565-1,1.0,1.0,,0.0,,,0.0,0.0,0.0,0.0,['NWC'],20.6842498779297,231.884994506836,23.423999786377,17.804500579834,2341.7939453125,43.7747497558594,966.551513671875,332.193756103516,244.922439575195,386.135009765625,7.12402868270874,263.111114501953,53.1555557250977,447.555541992188,631.75,68.7333297729492,25.25,-22.09667,166.6,1.0,"[14, 1]",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0268784361637141,1.0,0.0,0.0,0.0,0.0,0.0,1.0,
28,Alstonia quaternata,76580-1,Apocynaceae,Alstonia,Species,Alstonia quaternata,76580-1,1.0,1.0,,0.0,,,0.0,0.0,0.0,0.0,['NWC'],22.2765007019043,200.731506347656,24.7797508239746,19.638500213623,2447.380859375,52.7017517089844,1088.54296875,264.686492919922,225.160667419434,323.942504882812,5.64828300476074,269.166656494141,52.9555549621582,520.555541992188,1254.0,78.6666641235352,22.875,-20.6,164.80958,1.0,"[1, 0]",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0268784361637141,1.0,0.0,0.0,0.0,0.0,0.0,1.0,
34,Alstonia sphaerocapitata,76598-1,Apocynaceae,Alstonia,Species,Alstonia sphaerocapitata,76598-1,1.0,1.0,,0.0,,,0.0,0.0,0.0,0.0,['NWC'],22.924375534057603,202.04850006103496,25.397250175476103,20.27674961090085,2485.04553222656,50.931249618530245,1097.38989257813,293.5854949951176,123.468147277832,107.39249801635744,2.74916887283325,257.416656494141,52.25,405.6875,1205.66662597656,74.3125,23.0833339691162,-20.972085,165.221945,1.0,"[0, 1]",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0268784361637141,1.0,0.0,0.0,0.0,0.0,0.0,1.0,
36,Alstonia vieillardii,76604-1,Apocynaceae,Alstonia,Species,Alstonia vieillardii,76604-1,1.0,1.0,,0.0,,,0.0,0.0,0.0,0.0,['NWC'],20.6842498779297,231.884994506836,23.5222492218018,17.8740005493164,1805.79272460938,43.3092498779297,814.050476074219,226.372253417969,244.922439575195,346.292510986328,6.32290983200073,263.111114501953,53.523811340332,447.555541992188,837.5,68.0714263916016,25.25,-22.10306,166.58333,1.0,"[1, 3, 14, 0, 2]",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0268784361637141,1.0,0.0,0.0,0.0,0.0,0.0,1.0,
43,Amsonia tabernaemontana,76931-1,Apocynaceae,Amsonia,Species,Amsonia tabernaemontana,76931-1,1.0,1.0,,0.0,,,0.0,1.0,0.0,1.0,"['ALA', 'ARK', 'DEL', 'GEO', 'ILL', 'INI', 'IOW', 'KAN', 'KTY', 'LOU', 'MSO', 'NEV', 'NCA', 'OKL', 'PEN', 'SCA', 'TEN', 'TEX', 'VRG']",15.39925003051755,771.176513671875,25.376999855041497,5.28975009918213,1245.576416015625,17.0564994812012,379.288497924805,256.298736572266,167.490303039551,170.952499389648,0.555156528949738,197.952377319336,55.0565490722656,229.08332824707,1818.75,44.5,22.875,35.593712499999995,-88.9294135,14.0,"[14, 25, 26, 5]",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0097739767868051,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
