,Accepted_Name,Accepted_ID,Family,Genus,Accepted_Rank,Accepted_Species,Accepted_Species_ID,Tested_for_Alkaloids,Alkaloids,Alk_classes_tested_for,Antimalarial_Use,Cardenolides,Steroids,In_Malarial_Region,Common_Name,Medicinal,Wiki_Page,native_tdwg3_codes,bio1,bio4,bio10,bio11,bio12,bio15,bio16,bio17,brkl_elevation,elevation,slope,soil_nitrogen,soil_ph,soil_soc,soil_depth,soil_ocs,soil_water_cap,latitude,longitude,kg_mode,kg_all,alk_diterpenoid,alk_imidazole,alk_indole,alk_indolizidine,alk_indolizine(to_confirm),alk_isoquinoline,alk_mia,alk_misc. one n,alk_misc. two n,alk_monoterpene,alk_naphthyridine,alk_peptide,alk_piperidine,alk_purine,alk_pyrazine,alk_pyridine,alk_pyrrole,alk_pyrrolidine,alk_pyrrolizidine,alk_quinazoline,alk_quinoline,alk_quinolizidine,alk_simple amine,alk_spermidine,alk_steroidal,alk_to_confirm,AntiBac_Metabolites,Poisonous,Spines,Hairs,Richness,Emergence,habit_hb,habit_li,habit_sc,habit_sh,habit_subsh,habit_tr,Activity_Antimalarial
317,Ochrosia lifuana,80519-1,Apocynaceae,Ochrosia,Species,Ochrosia lifuana,80519-1,1.0,1.0,,0.0,,,0.0,0.0,0.0,0.0,['NWC'],23.8134994506836,174.912750244141,26.0965003967285,21.4804992675781,1706.49096679688,44.838249206543,707.067993164062,232.323745727539,21.1966762542725,24.7724990844727,0.41183152794838,491.194458007812,53.0,565.555541992188,2246.5,65.2857131958008,27.0,-20.88333,167.25,1.0,[1],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0268784361637141,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
318,Ochrosia miana,80524-1,Apocynaceae,Ochrosia,Species,Ochrosia miana,80524-1,1.0,1.0,,0.0,,,0.0,0.0,0.0,0.0,['NWC'],21.6747493743896,211.481246948242,24.4072494506836,18.9657497406006,2079.02270507812,43.7747497558594,884.451232910156,242.123504638672,244.922439575195,202.865005493164,4.05791759490967,238.688888549805,53.1555557250977,429.088897705078,1013.75,68.7333297729492,23.625,-22.06889,166.6336,1.0,"[1, 0, 14, 3]",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0268784361637141,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
325,Ochrosia vitiensis,80554-1,Apocynaceae,Ochrosia,Species,Ochrosia vitiensis,80554-1,1.0,1.0,,0.0,,,0.0,0.0,1.0,0.0,"['FIJ', 'TON']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0268784361637141,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
714,Gardenia urvillei,751312-1,Rubiaceae,Gardenia,Species,Gardenia urvillei,751312-1,0.0,,,0.0,,,0.0,0.0,1.0,1.0,['NWC'],23.6412506103516,206.692245483398,26.0965003967285,21.0375003814697,1464.16296386719,53.6867485046387,695.233764648438,160.260498046875,60.1301956176758,74.9649963378906,2.03309440612793,247.89582824707,53.238094329834,428.17778015136696,2011.5,60.75,22.125,-20.9022,164.9188,1.0,"[2, 3, 1, 0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0818570555894929,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
