,Uncorrected,Logit Corrected
Apocynaceae,0.5748031496062992,0.49144254278728605
Loganiaceae,0.2972972972972973,0.10328638497652583
Rubiaceae,0.4067796610169492,0.3205026455026455
All,0.46808510638297873,0.34530768413221385
