,Region,Number of Native Species
0,AND,1
1,ANG,2
2,ASS,1
3,BEN,1
4,BOL,3
5,BOR,2
6,BUR,2
7,BZC,2
8,BZE,2
9,BZL,2
10,BZN,3
11,BZS,1
12,CAB,1
13,CAF,1
14,CBD,3
15,CHA,1
16,CLM,2
17,CMN,3
18,CON,3
19,CPP,1
20,EQG,2
21,ETH,1
22,GAB,5
23,GGI,2
24,GHA,2
25,GNB,1
26,GUI,1
27,GUY,1
28,IVO,2
29,JAW,2
30,KEN,3
31,LAO,2
32,LBR,2
33,LSI,1
34,MDG,4
35,MLW,2
36,MLY,3
37,MOL,2
38,MOZ,3
39,MYA,1
40,NAM,1
41,NAT,1
42,NGA,3
43,NWG,4
44,PAN,1
45,PER,1
46,PHI,3
47,RWA,2
48,SEN,1
49,SIE,2
50,SOM,1
51,SUD,1
52,SUL,2
53,SUM,2
54,TAN,4
55,THA,4
56,TOG,1
57,TVL,1
58,UGA,2
59,VEN,2
60,VIE,3
61,ZAI,5
62,ZAM,2
63,ZIM,2
