,Region,Number of Native Species
0,AND,1
1,ANG,1
2,ASS,1
3,BOL,4
4,BOR,2
5,BUR,1
6,BZC,3
7,BZE,2
8,BZL,2
9,BZN,4
10,BZS,1
11,CBD,3
12,CLM,2
13,CMN,2
14,CON,2
15,CPP,1
16,ECU,1
17,EQG,2
18,ETH,1
19,FRG,1
20,GAB,4
21,GGI,1
22,GHA,1
23,GUY,2
24,IVO,1
25,JAW,2
26,KEN,2
27,LAO,2
28,LBR,1
29,LSI,1
30,MDG,4
31,MLW,1
32,MLY,3
33,MOL,2
34,MOZ,2
35,MYA,1
36,NAM,1
37,NAT,1
38,NGA,2
39,NWG,4
40,PAN,2
41,PER,2
42,PHI,3
43,RWA,2
44,SIE,1
45,SOM,1
46,SUL,2
47,SUM,2
48,SUR,1
49,TAN,3
50,THA,4
51,TVL,1
52,UGA,1
53,VEN,3
54,VIE,3
55,ZAI,4
56,ZAM,1
57,ZIM,1
