,In_Malarial_Region,Common_Name,Poisonous,Medicinal,Wiki_Page,Antimalarial_Use,Emergence,Tested_for_Alkaloids,herb,liana,succulent,shrub,subshrub,tree,Richness,bio1,bio4,bio10,bio11,bio12,bio15,bio16,bio17,brkl_elevation,elevation,slope,soil_nitrogen,soil_ph,soil_soc,soil_depth,soil_ocs,soil_water_cap,latitude,longitude,kg_mode,Activity_Antimalarial
count,21111.0,21111.0,21111.0,21111.0,21111.0,21111.0,21111.0,21111.0,21012.0,21012.0,21012.0,21012.0,21012.0,21012.0,21111.0,14634.0,14634.0,14634.0,14634.0,14634.0,14634.0,14634.0,14634.0,14634.0,14634.0,14634.0,14584.0,14579.0,14581.0,14609.0,14579.0,14609.0,14634.0,14634.0,14634.0,282.0
mean,0.8922362749277628,0.05726872246696035,0.030268580360949267,0.09990052579224101,0.1454691866799299,0.01331059637155985,0.5143763914546918,0.046421296954194495,0.09047211117456691,0.26837045497810774,0.021797068341899865,0.5524938130592043,0.45888063963449455,0.3959642109270893,0.17947306304023464,21.649073500899302,183.45292650472112,23.84091314084057,19.15286663090846,2069.407794665391,58.045591729153564,866.0930365108476,218.1528421335583,644.8457094135214,656.3150348326735,3.4782508689780283,264.8076084115253,55.95453791334122,398.1261202479805,3147.053126511465,58.68456749756139,23.512867350999038,-0.39181265492261796,12.392455220931707,5.264384310509771,0.46808510638297873
std,0.31008911521944377,0.23236086891515412,0.17132945996994575,0.299874424302477,0.35258160897244223,0.11460386790206623,0.4998051143262298,0.2104007059903457,0.28686377367481225,0.4431219909584649,0.1460238711761953,0.4972485967496317,0.4983181877678701,0.4890684389622658,0.26529032849042894,4.52303404911336,177.68931151710152,3.631647279078759,6.225853616996306,1107.1401289121857,26.20617600847419,418.4490613371258,228.95383005147482,645.7212219840949,651.9994369329331,3.0424197468221053,114.35971796203413,7.372409028956054,252.4660241301392,2627.4712265683306,17.73217531809363,4.242450257037795,17.589734726392052,83.18277335875584,5.557672730010035,0.49986747694812755
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006108735491753,-9.36999988555908,9.59724998474121,3.67974996566772,-24.5394992828369,32.0107498168945,5.43900012969971,18.8174991607666,0.0,-197.56787109375,-180.975006103516,0.0,32.8333320617676,40.1458320617676,10.7291669845581,4.75,10.8125,4.0625,-50.47734,-179.9813,0.0,0.0
25%,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0195479535736102,19.171156406402574,63.10256242752072,21.87353062629701,16.350437879562364,1281.4414520263663,38.89934396743772,582.414978027344,52.76509380340573,167.79016494750962,171.87874603271476,1.0100095272064218,187.3125,51.281650543212905,238.458335876465,1406.5,47.75,21.0625,-14.09761125,-67.91527625,1.0,0.0
50%,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0751374465485644,22.9922504425049,125.702499389648,24.914999961853,20.9090003967285,1865.713592529295,56.4453125,837.7350158691407,142.47812652587902,405.6177291870115,419.1012573242185,2.62900066375732,243.99305725097673,53.9333343505859,332.0,2176.75,57.375,23.8125,0.21660849999999998,13.7258325,3.0,0.0
75%,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.2223579718998167,25.02634453773499,231.24881362915076,26.303687572479227,23.695468902587862,2753.26318359375,75.02234268188475,1100.32275390625,302.46700286865223,979.1578826904299,966.1146774291992,5.082657307386395,330.479156494141,59.1025657653809,478.125,3941.125,68.015625,26.5,10.04791375,98.46666875,9.0,1.0
max,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,29.7902507781982,1608.44299316406,35.0,29.0955009460449,6553.5,163.671493530273,4034.56372070312,2411.98217773438,4924.78662109375,4770.85498046875,21.4375629425049,1491.3690795898451,86.625,2407.83325195312,19802.75,154.125,51.5,65.3035,179.9783,29.0,1.0
