,In_Malarial_Region,Common_Name,Poisonous,Medicinal,Wiki_Page,Antimalarial_Use,Emergence,Tested_for_Alkaloids,herb,liana,succulent,shrub,subshrub,tree,Richness,bio1,bio4,bio10,bio11,bio12,bio15,bio16,bio17,brkl_elevation,elevation,slope,soil_nitrogen,soil_ph,soil_soc,soil_depth,soil_ocs,soil_water_cap,latitude,longitude,kg_mode,Activity_Antimalarial
count,20829.0,20829.0,20829.0,20829.0,20829.0,20829.0,20829.0,20829.0,20730.0,20730.0,20730.0,20730.0,20730.0,20730.0,20829.0,14357.0,14357.0,14357.0,14357.0,14357.0,14357.0,14357.0,14357.0,14357.0,14357.0,14357.0,14307.0,14302.0,14304.0,14332.0,14302.0,14332.0,14357.0,14357.0,14357.0,0.0
mean,0.8909693216188967,0.051610735032886844,0.024677132843631475,0.09083489365788083,0.13956502952614144,0.0070094579672571895,0.5123625714148543,0.03831196888952902,0.09155812831644959,0.26849975880366617,0.02180414857694163,0.5540279787747227,0.4621804148576942,0.39377713458755426,0.18111070706860966,21.610338065754114,184.12625646398553,23.809434633480187,19.105783513474186,2074.8561519421664,57.927437711610615,867.8520490919107,219.73829577141478,648.4377479498413,659.8932419669507,3.505617286993705,265.62986507097145,55.95155355063806,399.99938855371886,3110.330603420951,58.833768802095236,23.538287716107497,-0.4098913042862429,12.517116854778454,5.2896844744723825,
std,0.31168518349507235,0.22124515163746877,0.15514292612403785,0.28738107243701594,0.34654350043515453,0.08343056782400084,0.49985914272215587,0.19195293928972898,0.2884081308868843,0.44318970356221804,0.14604710409178115,0.4970843963450232,0.4985796529915491,0.4885982183121492,0.26635684865877435,4.537001807071636,178.5245362057754,3.6372946401267745,6.250187817359717,1111.5326655164868,26.295426839086545,420.4277010051828,230.07936882869728,647.8566151411419,654.0838533696989,3.051359447453374,114.6608655531257,7.392409047259017,253.67574225039525,2591.556659228841,17.77684246803774,4.251021676235323,17.66593526707512,83.46086191749549,5.582496392329566,
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006108735491753,-9.36999988555908,9.59724998474121,3.67974996566772,-24.5394992828369,32.0107498168945,5.43900012969971,18.8174991607666,0.0,-26.182825088501,-54.8600006103516,0.0,32.8333320617676,40.1458320617676,10.7291669845581,4.75,10.8125,4.0625,-50.47734,-179.9813,0.0,
25%,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0201588271227855,19.1497497558594,63.03162384033205,21.8474998474121,16.28125,1282.84521484375,38.5059986114502,582.296997070312,53.1035003662109,168.0083084106445,172.147506713867,1.02488422393799,188.12985992431652,51.2574105262756,239.296875,1400.4375,47.8666648864746,21.125,-14.15477,-68.04083499999999,1.0,
50%,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.076359193646915,22.9479999542236,126.178497314453,24.8619995117188,20.8780002593994,1870.43896484375,56.1445007324219,840.366516113281,143.888000488281,411.318572998047,422.92375183105446,2.67145490646362,244.5595245361325,53.9166679382324,334.0625,2158.0,57.5,23.8125,0.124818,14.60711,3.0,
75%,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.2223579718998167,25.0069999694824,232.497253417969,26.2802505493164,23.66975021362305,2765.886962890625,74.9537506103516,1101.9911499023451,306.868011474609,983.462585449219,972.5387573242184,5.14038944244385,331.2671127319338,59.0833339691162,480.4151000976564,3869.25,68.1383924484253,26.5,10.15,98.65,9.0,
max,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,29.7902507781982,1608.44299316406,35.0,29.0955009460449,6553.5,163.671493530273,4034.56372070312,2411.98217773438,4924.78662109375,4770.85498046875,21.4375629425049,1491.3690795898451,86.625,2407.83325195312,19802.75,154.125,51.5,65.3035,179.9783,29.0,
