,Feature,p_value,corrected_p_value
0,Tested_for_Alkaloids,0.0,0.0
1,Antimalarial_Use,0.0,0.0
2,Poisonous,4.3382466113496143e-299,1.3014739834048842e-297
3,Medicinal,1.7909941118730165e-280,5.193882924431748e-279
4,Common_Name,4.085382183793043e-180,1.1439070114620522e-178
5,Wiki_Page,6.24685174575274e-91,1.68664997135324e-89
6,slope,4.532978406765156e-19,1.1785743857589406e-17
7,soil_depth,1.5824711120388994e-17,3.9561777800972485e-16
8,subshrub,7.351981478514592e-16,1.7644755548435018e-14
9,bio1,1.52396288438924e-14,3.5051146340952524e-13
10,bio10,2.7098201563088288e-14,5.961604343879424e-13
11,soil_ocs,2.219054725116064e-12,4.6600149227437343e-11
12,soil_nitrogen,6.006813380186624e-11,1.201362676037325e-09
13,bio11,1.7516682336665252e-10,3.3281696439663978e-09
14,bio15,2.488265074866441e-10,4.478877134759594e-09
15,bio17,1.8994127346243354e-08,3.2290016488613704e-07
16,brkl_elevation,2.756235756993697e-08,4.4099772111899154e-07
17,soil_water_cap,3.1015915185202034e-08,4.652387277780305e-07
18,elevation,5.858297797106141e-08,8.201616915948598e-07
19,tree,6.040995255978553e-08,7.853293832772119e-07
20,In_Malarial_Region,6.948247431125128e-07,8.337896917350154e-06
21,Emergence,9.327651411626095e-07,1.0260416552788705e-05
22,herb,5.064430264211002e-06,5.064430264211002e-05
23,bio12,1.049682902274424e-05,9.447146120469815e-05
24,bio16,1.3108987891304936e-05,0.00010487190313043949
25,longitude,0.00010932450781645593,0.0007652715547151915
26,shrub,0.00019764030586998948,0.0011858418352199368
27,latitude,0.00043707932896087237,0.002185396644804362
28,bio4,0.0006876284669648852,0.0027505138678595407
29,soil_ph,0.008861346366197734,0.026584039098593203
30,liana,0.7716398116211513,1.5432796232423025
31,succulent,1.0,1.0
