Region,Number of Native Species
ABT,12
AFG,73
AGE,237
AGS,28
AGW,156
ALA,71
ALB,64
ALD,17
ALG,61
ALT,24
ALU,3
AMU,13
AND,174
ANG,532
ARI,77
ARK,56
ARU,13
ASK,4
ASS,342
ATP,7
AUT,51
AZO,11
BAH,77
BAL,33
BAN,325
BEN,245
BER,8
BGM,21
BIS,113
BKN,143
BLR,22
BLT,19
BLZ,232
BOL,788
BOR,995
BOT,148
BRC,16
BRY,15
BUL,79
BUR,223
BZC,636
BZE,665
BZL,1143
BZN,1184
BZS,425
CAB,240
CAF,449
CAL,65
CAY,32
CBD,394
CGS,2
CHA,116
CHC,731
CHH,287
CHI,29
CHM,36
CHN,82
CHQ,25
CHS,578
CHT,121
CHX,36
CKI,3
CLC,41
CLM,1640
CLN,17
CLS,13
CMN,995
CNT,26
CNY,21
COL,33
COM,81
CON,624
COO,18
COR,35
COS,620
CPI,14
CPP,508
CPV,56
CRL,90
CRZ,1
CTA,12
CTM,5
CUB,582
CVI,14
CYP,37
CZE,41
DEL,28
DEN,17
DJI,39
DOM,274
EAI,59
ECU,997
EGY,34
EHM,287
ELS,190
EQG,180
ERI,79
ETH,286
FAL,2
FIJ,204
FIN,13
FLA,96
FOR,3
FRA,87
FRG,351
GAB,828
GAL,13
GAM,61
GEO,67
GER,43
GGI,186
GHA,392
GIL,9
GNB,146
GNL,4
GRB,20
GRC,138
GST,22
GUA,473
GUI,321
GUY,525
HAI,285
HAW,83
HON,360
HUN,44
ICE,7
IDA,12
ILL,56
IND,600
INI,44
IOW,33
IRE,13
IRK,12
IRN,131
IRQ,69
ITA,85
IVO,476
JAM,202
JAP,100
JAW,498
JNF,5
KAM,5
KAN,37
KAZ,47
KEG,1
KEN,501
KER,2
KGZ,43
KHA,18
KOR,61
KRA,14
KRI,54
KRY,48
KTY,49
KUR,8
KUW,2
KZN,6
LAB,4
LAO,348
LBR,394
LBS,81
LBY,40
LDV,16
LEE,105
LES,73
LIN,3
LOU,58
LSI,182
MAG,2
MAI,18
MAN,13
MAQ,2
MAS,23
MAU,56
MCI,4
MDG,1147
MDR,10
MDV,8
MIC,29
MIN,31
MLI,133
MLW,381
MLY,848
MNT,16
MOL,210
MON,24
MOR,66
MOZ,507
MRN,33
MRQ,42
MRS,8
MRY,39
MSI,56
MSO,54
MTN,32
MXC,296
MXE,371
MXG,392
MXI,7
MXN,237
MXS,698
MXT,545
MYA,566
NAM,209
NAT,394
NBR,10
NCA,50
NCB,131
NCS,40
NDA,15
NEB,27
NEP,191
NET,19
NEV,38
NFK,19
NFL,12
NGA,591
NGR,35
NIC,363
NLA,20
NNS,74
NOR,19
NRU,5
NSC,12
NSW,136
NTA,222
NUE,18
NUN,3
NWC,362
NWG,1102
NWH,23
NWJ,27
NWM,74
NWT,2
NWY,35
NZN,60
NZS,61
OFS,146
OGA,13
OHI,34
OKL,63
OMA,57
ONT,32
ORE,21
PAK,100
PAL,71
PAN,684
PAR,325
PEI,8
PEN,32
PER,1143
PHI,999
PHX,1
PIT,11
POL,32
POR,46
PRM,29
PUE,122
QLD,366
QUE,22
REU,35
RHO,20
ROD,11
ROM,57
RUC,28
RUE,30
RUN,16
RUS,42
RUW,24
RWA,173
SAK,8
SAM,110
SAR,40
SAS,12
SAU,97
SCA,54
SCI,57
SCS,11
SCZ,14
SDA,21
SEL,5
SEN,178
SEY,24
SGE,1
SIC,49
SIE,306
SIN,28
SOA,47
SOC,54
SOL,151
SOM,233
SPA,89
SRL,252
SSA,1
STH,1
SUD,274
SUL,285
SUM,597
SUR,315
SWC,19
SWE,20
SWI,41
SWZ,200
TAI,174
TAN,905
TAS,35
TCI,37
TCS,100
TDC,2
TEN,55
TEX,140
THA,982
TKM,35
TOG,183
TOK,4
TON,44
TRT,153
TUA,12
TUB,27
TUE,40
TUN,44
TUR,202
TUV,3
TVA,10
TVL,386
TZK,48
UGA,367
UKR,69
URU,96
UTA,43
UZB,35
VAN,77
VEN,1271
VER,28
VIC,65
VIE,824
VNA,35
VRG,52
WAL,25
WAS,16
WAU,169
WDC,18
WHM,139
WIN,111
WIS,31
WSA,5
WSB,25
WVA,29
WYO,18
XMS,7
YAK,9
YEM,130
YUG,97
YUK,3
ZAI,1043
ZAM,471
ZIM,403
