,Region,num_active,num_labelled,Number of Native Species
0,AFG,2,4,0.5
1,AGE,4,11,0.36363636363636365
2,AGW,3,5,0.6
3,ALB,1,1,1.0
4,ALD,1,2,0.5
5,ALG,2,3,0.6666666666666666
6,AMU,1,1,1.0
7,AND,5,15,0.3333333333333333
8,ANG,23,54,0.42592592592592593
9,ASS,6,17,0.35294117647058826
10,BAH,1,1,1.0
11,BAN,6,22,0.2727272727272727
12,BEN,32,56,0.5714285714285714
13,BIS,1,4,0.25
14,BKN,26,37,0.7027027027027027
15,BLZ,6,18,0.3333333333333333
16,BOL,24,50,0.48
17,BOR,11,20,0.55
18,BOT,9,16,0.5625
19,BRY,1,1,1.0
20,BUR,14,38,0.3684210526315789
21,BZC,13,36,0.3611111111111111
22,BZE,15,31,0.4838709677419355
23,BZL,15,31,0.4838709677419355
24,BZN,20,47,0.425531914893617
25,BZS,6,14,0.42857142857142855
26,CAB,17,29,0.5862068965517241
27,CAF,34,69,0.4927536231884058
28,CAY,1,2,0.5
29,CBD,8,23,0.34782608695652173
30,CHA,12,22,0.5454545454545454
31,CHC,7,16,0.4375
32,CHH,3,12,0.25
33,CHI,1,1,1.0
34,CHN,1,1,1.0
35,CHQ,1,1,1.0
36,CHS,5,16,0.3125
37,CHT,1,2,0.5
38,CLM,23,54,0.42592592592592593
39,CMN,38,78,0.48717948717948717
40,CNY,1,1,1.0
41,COM,5,11,0.45454545454545453
42,CON,29,65,0.4461538461538462
43,COS,11,34,0.3235294117647059
44,CPP,7,15,0.4666666666666667
45,CPV,6,12,0.5
46,CTA,1,1,1.0
47,CUB,1,7,0.14285714285714285
48,CVI,2,3,0.6666666666666666
49,CYP,1,1,1.0
50,DJI,4,9,0.4444444444444444
51,DOM,2,3,0.6666666666666666
52,EAI,2,2,1.0
53,ECU,13,36,0.3611111111111111
54,EGY,2,3,0.6666666666666666
55,EHM,6,14,0.42857142857142855
56,ELS,4,12,0.3333333333333333
57,EQG,7,15,0.4666666666666667
58,ERI,5,15,0.3333333333333333
59,ETH,14,34,0.4117647058823529
60,FIJ,1,3,0.3333333333333333
61,FLA,1,1,1.0
62,FRG,12,29,0.41379310344827586
63,GAB,26,56,0.4642857142857143
64,GAM,13,20,0.65
65,GGI,13,25,0.52
66,GHA,36,63,0.5714285714285714
