,Region,num_active,num_labelled,Number of Native Species
67,GIL,1,2,0.5
68,GNB,26,40,0.65
69,GRC,3,3,1.0
70,GST,1,1,1.0
71,GUA,7,21,0.3333333333333333
72,GUI,30,51,0.5882352941176471
73,GUY,13,34,0.38235294117647056
74,HAI,1,3,0.3333333333333333
75,HON,6,18,0.3333333333333333
76,IND,9,24,0.375
77,IRN,1,2,0.5
78,IRQ,2,2,1.0
79,ITA,1,1,1.0
80,IVO,37,65,0.5692307692307692
81,JAM,1,5,0.2
82,JAP,1,1,1.0
83,JAW,8,15,0.5333333333333333
84,KEN,24,57,0.42105263157894735
85,KHA,1,1,1.0
86,KOR,1,2,0.5
87,KRI,1,1,1.0
88,KUW,1,1,1.0
89,LAO,5,18,0.2777777777777778
90,LBR,26,49,0.5306122448979592
91,LBS,2,3,0.6666666666666666
92,LBY,2,2,1.0
93,LDV,1,5,0.2
94,LEE,2,5,0.4
95,LES,1,3,0.3333333333333333
96,LSI,4,8,0.5
97,MAU,1,4,0.25
98,MCI,1,2,0.5
99,MDG,10,22,0.45454545454545453
100,MDV,1,4,0.25
101,MLI,19,31,0.6129032258064516
102,MLW,21,49,0.42857142857142855
103,MLY,14,28,0.5
104,MOL,5,9,0.5555555555555556
105,MON,1,1,1.0
106,MOR,2,3,0.6666666666666666
107,MOZ,23,52,0.4423076923076923
108,MTN,4,8,0.5
109,MXC,4,9,0.4444444444444444
110,MXE,4,8,0.5
111,MXG,6,16,0.375
112,MXN,3,6,0.5
113,MXS,6,17,0.35294117647058826
114,MXT,7,19,0.3684210526315789
115,MYA,14,27,0.5185185185185185
116,NAM,5,12,0.4166666666666667
117,NAT,11,24,0.4583333333333333
118,NCB,3,9,0.3333333333333333
119,NEP,6,13,0.46153846153846156
120,NFK,1,1,1.0
121,NGA,39,77,0.5064935064935064
122,NGR,4,9,0.4444444444444444
123,NIC,7,23,0.30434782608695654
124,NRU,1,2,0.5
125,NSW,2,2,1.0
126,NTA,3,7,0.42857142857142855
127,NWC,5,7,0.7142857142857143
128,NWG,5,9,0.5555555555555556
129,OFS,3,4,0.75
130,OMA,3,10,0.3
131,PAK,4,9,0.4444444444444444
132,PAL,2,4,0.5
133,PAN,9,36,0.25
134,PAR,7,17,0.4117647058823529
135,PER,21,46,0.45652173913043476
136,PHI,6,14,0.42857142857142855
137,PRM,1,1,1.0
138,PUE,3,7,0.42857142857142855
139,QLD,7,12,0.5833333333333334
140,REU,1,5,0.2
141,ROD,1,1,1.0
142,RWA,10,26,0.38461538461538464
143,SAU,3,15,0.2
144,SEN,26,39,0.6666666666666666
145,SEY,1,2,0.5
146,SIC,1,1,1.0
147,SIE,28,49,0.5714285714285714
148,SIN,1,3,0.3333333333333333
149,SOC,3,5,0.6
150,SOL,2,6,0.3333333333333333
151,SOM,10,23,0.43478260869565216
152,SPA,1,1,1.0
153,SRL,6,18,0.3333333333333333
154,SUD,25,52,0.4807692307692308
155,SUL,5,10,0.5
156,SUM,10,18,0.5555555555555556
157,SUR,13,30,0.43333333333333335
158,SWZ,8,19,0.42105263157894735
159,TAI,1,5,0.2
160,TAN,32,76,0.42105263157894735
161,TCI,1,1,1.0
162,THA,16,31,0.5161290322580645
163,TOG,25,45,0.5555555555555556
164,TON,1,3,0.3333333333333333
165,TRT,3,14,0.21428571428571427
166,TUN,2,2,1.0
167,TUR,3,3,1.0
168,TVL,13,29,0.4482758620689655
169,UGA,27,59,0.4576271186440678
170,URU,2,5,0.4
171,VAN,1,3,0.3333333333333333
172,VEN,20,43,0.46511627906976744
173,VIE,12,30,0.4
174,VNA,1,3,0.3333333333333333
175,WAU,3,7,0.42857142857142855
176,WHM,4,11,0.36363636363636365
177,WIN,1,6,0.16666666666666666
178,WSA,1,1,1.0
179,YEM,4,14,0.2857142857142857
180,YUG,1,1,1.0
181,ZAI,42,93,0.45161290322580644
182,ZAM,23,52,0.4423076923076923
183,ZIM,20,40,0.5
