Region,Number of Native Species
AFG,4
AGE,11
AGW,5
ALB,1
ALD,2
ALG,3
AMU,1
AND,15
ANG,54
ARU,1
ASS,17
BAH,1
BAN,22
BEN,56
BIS,4
BKN,37
BLZ,18
BOL,50
BOR,20
BOT,16
BRY,1
BUR,38
BZC,36
BZE,31
BZL,31
BZN,47
BZS,14
CAB,29
CAF,69
CAY,2
CBD,23
CGS,1
CHA,22
CHC,16
CHH,12
CHI,1
CHN,1
CHQ,1
CHS,16
CHT,2
CKI,2
CLM,54
CMN,78
CNY,1
COM,11
CON,65
COO,2
COS,34
CPP,15
CPV,12
CRL,2
CTA,1
CUB,7
CVI,3
CYP,1
DJI,9
DOM,3
EAI,2
ECU,36
EGY,3
EHM,14
ELS,12
EQG,15
ERI,15
ETH,34
FIJ,3
FLA,1
FRG,29
GAB,56
GAM,20
GGI,25
GHA,63
GIL,2
GNB,40
GRC,3
GST,1
GUA,21
GUI,51
GUY,34
HAI,3
HAW,1
HON,18
IND,24
IRN,2
IRQ,2
ITA,1
IVO,65
JAM,5
JAP,1
JAW,15
KEN,57
KHA,1
KOR,2
KRI,1
KUW,1
KZN,1
LAO,18
LBR,49
LBS,3
LBY,2
LDV,5
LEE,5
LES,3
LIN,1
LSI,8
MAU,4
MCI,2
MDG,22
MDV,4
MLI,31
MLW,49
MLY,28
MOL,9
MON,1
MOR,3
MOZ,52
MRN,2
MRQ,2
MRS,1
MTN,8
MXC,9
MXE,8
MXG,16
MXN,6
MXS,17
MXT,19
MYA,27
NAM,12
NAT,24
NCB,9
NEP,13
NFK,1
NGA,77
NGR,9
NIC,23
NLA,1
NNS,3
NRU,2
NSW,2
NTA,7
NUE,2
NWC,7
NWG,9
OFS,4
OGA,2
OMA,10
PAK,9
PAL,4
PAN,36
PAR,17
PER,46
PHI,14
PHX,1
PIT,2
PRM,1
PUE,7
QLD,12
REU,5
ROD,1
RWA,26
SAM,2
SAU,15
SCI,2
SCS,3
SCZ,1
SEN,39
SEY,2
SIC,1
SIE,49
SIN,3
SOC,5
SOL,6
SOM,23
SPA,1
SRL,18
SUD,52
SUL,10
SUM,18
SUR,30
SWC,1
SWZ,19
TAI,5
TAN,76
TCI,1
THA,31
TOG,45
TOK,1
TON,3
TRT,14
TUA,2
TUB,2
TUN,2
TUR,3
TUV,1
TVL,29
UGA,59
URU,5
VAN,3
VEN,43
VIE,30
VNA,3
WAL,2
WAU,7
WHM,11
WIN,6
WSA,1
XMS,2
YEM,14
YUG,1
ZAI,93
ZAM,52
ZIM,40
