Region,Number of Native Species
AFG,2
AGE,4
AGW,3
ALB,1
ALD,1
ALG,2
AMU,1
AND,5
ANG,23
ASS,6
BAH,1
BAN,6
BEN,32
BIS,1
BKN,26
BLZ,6
BOL,24
BOR,11
BOT,9
BRY,1
BUR,14
BZC,13
BZE,15
BZL,15
BZN,20
BZS,6
CAB,17
CAF,34
CAY,1
CBD,8
CHA,12
CHC,7
CHH,3
CHI,1
CHN,1
CHQ,1
CHS,5
CHT,1
CLM,23
CMN,38
CNY,1
COM,5
CON,29
COS,11
CPP,7
CPV,6
CTA,1
CUB,1
CVI,2
CYP,1
DJI,4
DOM,2
EAI,2
ECU,13
EGY,2
EHM,6
ELS,4
EQG,7
ERI,5
ETH,14
FIJ,1
FLA,1
FRG,12
GAB,26
GAM,13
GGI,13
GHA,36
GIL,1
GNB,26
GRC,3
GST,1
GUA,7
GUI,30
GUY,13
HAI,1
HON,6
IND,9
IRN,1
IRQ,2
ITA,1
IVO,37
JAM,1
JAP,1
JAW,8
KEN,24
KHA,1
KOR,1
KRI,1
KUW,1
LAO,5
LBR,26
LBS,2
LBY,2
LDV,1
LEE,2
LES,1
LSI,4
MAU,1
MCI,1
MDG,10
MDV,1
MLI,19
MLW,21
MLY,14
MOL,5
MON,1
MOR,2
MOZ,23
MTN,4
MXC,4
MXE,4
MXG,6
MXN,3
MXS,6
MXT,7
MYA,14
NAM,5
NAT,11
NCB,3
NEP,6
NFK,1
NGA,39
NGR,4
NIC,7
NRU,1
NSW,2
NTA,3
NWC,5
NWG,5
OFS,3
OMA,3
PAK,4
PAL,2
PAN,9
PAR,7
PER,21
PHI,6
PRM,1
PUE,3
QLD,7
REU,1
ROD,1
RWA,10
SAU,3
SEN,26
SEY,1
SIC,1
SIE,28
SIN,1
SOC,3
SOL,2
SOM,10
SPA,1
SRL,6
SUD,25
SUL,5
SUM,10
SUR,13
SWZ,8
TAI,1
TAN,32
TCI,1
THA,16
TOG,25
TON,1
TRT,3
TUN,2
TUR,3
TVL,13
UGA,27
URU,2
VAN,1
VEN,20
VIE,12
VNA,1
WAU,3
WHM,4
WIN,1
WSA,1
YEM,4
YUG,1
ZAI,42
ZAM,23
ZIM,20
