,Tested_for_Alkaloids,Alkaloids,Antimalarial_Use,In_Malarial_Region,Common_Name,Medicinal,Wiki_Page,bio1,bio4,bio10,bio11,bio12,bio15,bio16,bio17,brkl_elevation,elevation,slope,soil_nitrogen,soil_ph,soil_depth,soil_ocs,soil_water_cap,latitude,longitude,kg_mode,Poisonous,Emergence,herb,liana,shrub,subshrub,succulent,tree,Activity_Antimalarial
count,282.0,195.0,282.0,282.0,282.0,282.0,282.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0
mean,0.6914893617021277,0.9897435897435898,0.4787234042553192,0.9858156028368794,0.475177304964539,0.7695035460992907,0.5815602836879432,23.65674368999495,148.55401594458075,25.472454405003077,21.593199905290497,1787.0176667857256,64.16955284779682,774.9228429140165,135.97826495411593,458.66918498772566,470.8553964687169,2.059840531609549,222.33820037290937,56.10862583890288,5047.079122660392,50.981040214373316,22.197615824881876,0.5452096155234657,5.931202234874939,3.953068592057762,0.4432624113475177,0.6631205673758865,0.010638297872340425,0.25886524822695034,0.4397163120567376,0.21631205673758866,0.02127659574468085,0.5567375886524822,0.46808510638297873
std,0.4626996999587744,0.1010125841779382,0.5004351857931544,0.11846080498613326,0.5002712471892036,0.421899325565528,0.49418005520045666,3.134679558844102,122.33837780669258,2.8945326017826813,4.125319488781967,801.0684463997296,20.178127917482314,284.4213387352828,137.21555876182828,489.2122801187021,499.8521854623261,2.097176623574109,87.78042948048625,6.262922171400691,3601.1089554176638,13.140508690821685,3.5374804176074988,13.0339783471,67.01714054103657,3.854411124263122,0.4976535639230045,0.4734835463728364,0.1027744153462402,0.4387901389591646,0.4972349785172839,0.41246142724434004,0.14456143549296324,0.4976535639230045,0.49986747694812755
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.57800006866455,31.6422500610352,11.9602499008179,0.943000018596649,206.6010055541995,14.210000038146951,102.16412353515628,0.927999973297119,-197.56787109375,-180.975006103516,0.310405045747757,74.0625,42.1777763366699,255.66667175293,17.9375,14.8125,-33.375,-151.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,1.0,0.0,1.0,0.0,1.0,0.0,22.63324928283695,73.2699966430664,24.70674991607665,19.7180004119873,1186.08825683594,53.0659999847412,590.970764160156,39.8797492980957,159.7783870697022,159.740005493164,0.6822203099727631,159.77082824707,52.25,2192.5,43.5625,19.125,-7.824021500000001,-58.65,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,1.0,1.0,0.0,1.0,0.0,1.0,1.0,24.6620006561279,115.60050201416,26.01424980163575,23.2292499542236,1631.07080078125,62.9677505493164,715.742004394531,97.9449996948242,266.706359863281,274.197509765625,1.4226237833499895,203.052085876465,55.1666679382324,3812.5,49.5625,22.125,3.133333,2.71111,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
75%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25.6159992218018,188.647506713867,26.914249420166,24.3937492370605,2232.49157714844,76.2487487792969,965.308776855469,184.190994262695,533.638488769531,550.672485351562,2.474434971809385,269.125,59.6666679382324,7236.25,59.125,25.0,8.63333,38.5,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
max,1.0,1.0,1.0,1.0,1.0,1.0,1.0,28.3057498931885,989.487487792969,33.538501739502,26.0727500915527,4369.61181640625,115.316997528076,1842.3876953125,756.083984375,2825.46533203125,2885.26245117188,13.4183073043823,546.854187011719,81.2604141235352,14694.0,99.1875,31.4375,40.11667,167.25,22.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
