,Accepted_Name,Accepted_ID,Family,Genus,Accepted_Rank,Accepted_Species,Accepted_Species_ID,Tested_for_Alkaloids,Alkaloids,Antimalarial_Use,In_Malarial_Region,Common_Name,Medicinal,Wiki_Page,native_tdwg3_codes,bio1,bio4,bio10,bio11,bio12,bio15,bio16,bio17,brkl_elevation,elevation,slope,soil_nitrogen,soil_ph,soil_soc,soil_depth,soil_ocs,soil_water_cap,latitude,longitude,kg_mode,kg_all,Poisonous,Richness,Emergence,herb,liana,shrub,subshrub,succulent,tree,Activity_Antimalarial
38,Alyxia stellata,76804-1,Apocynaceae,Alyxia,Species,Alyxia stellata,76804-1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,"['CRL', 'COO', 'FIJ', 'HAW', 'MRN', 'MRQ', 'NWC', 'NUE', 'PIT', 'QLD', 'SAM', 'SCI', 'SOL', 'TON', 'TUA', 'TUB', 'VAN', 'WAL']",23.7287502288818,113.81600189209,25.52312564849855,21.7600002288818,2081.89282226562,40.6295013427734,764.090515136719,290.8428649902345,58.9238224029541,57.4199981689453,1.8518226146698,391.0,55.5,566.458312988281,2246.5,69.0,27.625,-16.046586,-151.4,1.0,"[3, 0, 14, 1, 11, 15, 9, 2]",0.0,0.064752596212584,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
41,Amphineurion marginatum,77074602-1,Apocynaceae,Amphineurion,Species,Amphineurion marginatum,77074602-1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,"['AND', 'ASS', 'BAN', 'BOR', 'CBD', 'CHS', 'EHM', 'CHH', 'IND', 'JAW', 'LAO', 'LSI', 'MLY', 'MOL', 'MYA', 'NEP', 'NCB', 'PHI', 'SUL', 'SUM', 'THA', 'VIE']",26.5761241912842,120.814750671387,27.8576250076294,24.8417491912842,1827.46130371094,77.4886245727539,861.560485839844,50.9689998626709,137.66204833984352,122.65749740600548,1.643851339817045,203.037033081055,56.9375,236.52082824707,5554.0,53.15625,23.6875,12.6217835,101.5968335,3.0,"[3, 2, 0, 1, 11]",0.0,0.0006108735491753,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
49,Apteranthes tuberculata,20009957-1,Apocynaceae,Apteranthes,Species,Apteranthes tuberculata,20009957-1,0.0,,0.0,1.0,1.0,1.0,0.0,"['AFG', 'IND', 'PAK', 'PAL', 'WHM']",,,,,,,,,,,,,,,,,,,,,,1.0,0.0042761148442272,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
63,Aspidosperma cylindrocarpon,21952-2,Apocynaceae,Aspidosperma,Species,Aspidosperma cylindrocarpon,21952-2,1.0,1.0,0.0,1.0,0.0,0.0,1.0,"['BOL', 'BZS', 'BZL', 'BZC', 'PAR', 'PER']",22.2924995422363,170.675750732422,24.1494998931885,19.8832492828369,1450.72448730469,62.5807495117188,673.608520507812,103.638000488281,610.470886230469,637.6875,1.32085800170898,169.933334350586,53.8222236633301,213.755554199219,1785.25,48.9333343505859,21.1875,-17.33861,-57.3656,3.0,"[3, 14, 11, 2, 12, 6, 1, 15, 0]",0.0,0.047648136835675,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
64,Aspidosperma desmanthum,77353-1,Apocynaceae,Aspidosperma,Species,Aspidosperma desmanthum,77353-1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,"['BLZ', 'BOL', 'BZN', 'BZE', 'BZL', 'CLM', 'COS', 'ECU', 'FRG', 'GUA', 'GUY', 'HON', 'MXT', 'NIC', 'PAN', 'PER', 'SUR', 'VEN']",25.2455005645752,56.1785011291504,25.9095001220703,24.2447490692139,3037.94116210938,46.2159996032715,1093.77294921875,283.858764648438,183.083099365234,169.054992675781,0.889556109905243,251.622222900391,49.523811340332,349.770843505859,2687.0,55.5357151031494,23.5,3.09,-73.24722,1.0,"[1, 3, 2, 0, 15]",0.0,0.047648136835675,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
67,Aspidosperma excelsum,77367-1,Apocynaceae,Aspidosperma,Species,Aspidosperma excelsum,77367-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"['BOL', 'BZN', 'CLM', 'COS', 'FRG', 'GUY', 'PAN', 'PER', 'SUR', 'VEN']",25.2792491912842,57.0398750305176,25.868249893188448,24.4207496643066,2766.53784179688,44.21262359619145,1065.9193725585951,290.6566314697265,174.7686996459965,168.470001220703,0.505838453769684,216.08332824707,47.0625,316.16667175292946,2453.91662597656,51.1875,22.3125,0.9375,-68.183335,1.0,"[1, 2, 3, 6, 12, 15]",0.0,0.047648136835675,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
70,Aspidosperma macrocarpon,77400-1,Apocynaceae,Aspidosperma,Species,Aspidosperma macrocarpon,77400-1,1.0,1.0,0.0,1.0,0.0,0.0,1.0,"['BOL', 'BZN', 'BZE', 'BZL', 'BZC', 'PAR', 'PER', 'VEN']",24.1065006256104,109.222999572754,25.44587516784665,22.5602502822876,1536.43634033203,78.61312484741211,753.116516113281,28.3257503509521,605.583099365234,629.302490234375,1.25608861446381,148.59375,53.3854160308838,187.411109924316,2717.25,44.6875,19.5625,-14.558195,-48.03472,3.0,"[3, 2, 1, 11, 15, 12, 6, 14, 29]",0.0,0.047648136835675,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
71,Aspidosperma megalocarpon,77405-1,Apocynaceae,Aspidosperma,Species,Aspidosperma megalocarpon,77405-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"['BLZ', 'BZN', 'CLM', 'COS', 'ELS', 'FRG', 'GUA', 'GUY', 'HON', 'MXC', 'MXG', 'MXT', 'MXS', 'NIC', 'PAN', 'SUR', 'VEN']",24.9932498931885,161.814254760742,26.6277503967285,23.0712509155273,2365.39916992188,62.3847503662109,1057.87353515625,166.057754516602,246.728530883789,267.0625,2.65494275093079,302.333343505859,57.2564086914062,329.166656494141,578.25,61.0,26.375,16.3333,-90.9646,2.0,"[3, 2, 1, 0, 15, 12]",0.0,0.047648136835675,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
74,Aspidosperma nigricans,22012-2,Apocynaceae,Aspidosperma,Species,Aspidosperma nigricans,22012-2,1.0,1.0,0.0,1.0,0.0,0.0,0.0,['BZE'],24.3490009307861,140.125,25.8684997558594,22.3462505340576,1034.46569824219,41.5475006103516,532.450744628906,99.5222473144531,262.232696533203,338.105010986328,1.59222435951233,215.1875,60.8125,243.02082824707,2457.0,40.125,18.125,-12.16167,-39.12028,3.0,"[6, 3, 1]",1.0,0.047648136835675,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
75,Aspidosperma oblongum,77418-1,Apocynaceae,Aspidosperma,Species,Aspidosperma oblongum,77418-1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,"['FRG', 'GUY', 'SUR', 'VEN']",25.4584999084473,63.1002502441406,26.4317493438721,24.8587493896484,2564.52099609375,48.6875,1020.47052001953,225.838500976562,146.922439575195,144.550003051758,1.05629062652588,246.375,46.0416679382324,320.958343505859,3222.5,51.6875,23.0,4.05,-53.36583,1.0,"[1, 2]",0.0,0.047648136835675,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
